,bus_company_name,departure_time,pick_up_point,arrival_time,drop_of_point,start_point,destination,rating_safety,rating_info_accuracy,Thông tin đầy đủ,rating_staff_attitude,rating_comfort,rating_service_quantity,rating_punctuality,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,departure_date,duration_minutes,route
508,Khanh Phong,23:40:00,Văn phòng,05:35:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
509,Khanh Phong,13:10:00,Văn phòng,19:05:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
510,Khanh Phong,23:10:00,Văn phòng,05:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn - Nha Trang
511,Khanh Phong,23:25:00,Văn phòng,05:20:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
512,Khanh Phong,21:05:00,Văn phòng,03:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
513,Khanh Phong,14:30:00,Văn phòng,20:40:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn - Nha Trang
514,Khanh Phong,23:20:00,Văn phòng,05:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
515,Huỳnh Gia,22:30:00,Văn phòng,05:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,456000000,5.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
516,Khanh Phong,22:30:00,Văn phòng,04:25:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,38,270000000,270000000,0.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
517,Khanh Phong,23:05:00,Văn phòng,05:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
518,Liên Hưng,08:15:00,Bến xe,16:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,495,Sài Gòn - Nha Trang
519,Liên Hưng,19:30:00,Bến xe,05:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,280000000,15.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
520,Liên Hưng,07:30:00,Văn phòng,16:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
521,Liên Hưng,21:00:00,Văn phòng,06:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,500000000,300000000,40.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
522,Liên Hưng,08:00:00,Văn phòng,16:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,510,Sài Gòn - Nha Trang
523,Khanh Phong,23:10:00,Văn phòng,05:05:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
524,Liên Hưng,22:00:00,Other,05:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,280000000,15.0,Saturday,11-10-2025,450,Sài Gòn - Nha Trang
525,Liên Hưng,22:30:00,Bến xe,05:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,280000000,15.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
526,Liên Hưng,06:30:00,Bến xe,16:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
527,Cúc Tùng,20:30:00,Văn phòng,06:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
528,Cúc Tùng,20:00:00,Bến xe,05:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,531000000,299000000,44.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
529,Cúc Tùng,21:00:00,Văn phòng,06:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
530,Liên Hưng,07:30:00,Văn phòng,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,630,Sài Gòn - Nha Trang
531,Cúc Tùng,11:00:00,Văn phòng,20:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
532,Cúc Tùng,12:00:00,Văn phòng,21:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
533,Liên Hưng,21:45:00,Bến xe,06:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,500000000,300000000,40.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
534,Cúc Tùng,06:00:00,Văn phòng,15:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
535,Liên Hưng,21:30:00,Văn phòng,07:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,500000000,300000000,40.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
536,Liên Hưng,10:15:00,Văn phòng,18:45:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,510,Sài Gòn - Nha Trang
537,Cúc Tùng,14:30:00,Bến xe,23:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
538,Xe Nhà,21:10:00,Bến xe,05:40:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.4,4.2,4.0,4.0,4.5,4.3,3213,20,350000000,310000000,11.0,Saturday,11-10-2025,510,Sài Gòn - Nha Trang
539,Cúc Tùng,12:30:00,Bến xe,21:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
540,Cúc Tùng,10:15:00,Văn phòng,20:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
541,Quang Hạnh,17:30:00,Bến xe,02:55:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,362,22,480000000,350000000,27.0,Saturday,11-10-2025,565,Sài Gòn - Nha Trang
542,Cúc Tùng,09:30:00,Bến xe,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,571000000,299000000,48.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
543,Hà Linh,20:15:00,Other,05:15:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329,22,400000000,379000000,5.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
544,Liên Hưng,13:00:00,Bến xe,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
545,Hà Linh,18:15:00,Other,03:15:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329,24,680000000,399000000,41.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
546,Cúc Tùng,21:00:00,Bến xe,06:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
547,Cúc Tùng,19:30:00,Văn phòng,05:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,531000000,299000000,44.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
548,Cúc Tùng,22:30:00,Bến xe,07:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,299000000,45.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
549,Trọng Thủy Limousine,20:00:00,Other,03:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
550,Trọng Thủy Limousine,18:45:00,Other,01:45:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
551,Trọng Thủy Limousine,18:45:00,Other,01:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,375,Sài Gòn - Nha Trang
552,Cúc Tùng,11:30:00,Bến xe,20:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
553,Trọng Thủy Limousine,19:15:00,Other,01:45:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,390,Sài Gòn - Nha Trang
554,Trọng Thủy Limousine,19:45:00,Other,03:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,435,Sài Gòn - Nha Trang
555,Trọng Thủy Limousine,20:15:00,Other,03:15:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
556,Trọng Thủy Limousine,20:45:00,Other,03:15:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,390,Sài Gòn - Nha Trang
557,Trọng Thủy Limousine,20:00:00,Other,03:15:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,435,Sài Gòn - Nha Trang
558,Cúc Tùng,09:30:00,Bến xe,18:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
559,Trọng Thủy Limousine,20:15:00,Other,03:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,405,Sài Gòn - Nha Trang
560,Khanh Phong,23:00:00,Văn phòng,05:10:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn - Nha Trang
561,Cúc Tùng,07:30:00,Bến xe,16:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
562,Cúc Tùng,07:00:00,Văn phòng,16:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
563,Cúc Tùng,20:00:00,Bến xe,05:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
564,Khanh Phong,23:00:00,Văn phòng,04:55:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
565,Liên Hưng,09:45:00,Văn phòng,18:45:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
566,Cúc Tùng,08:15:00,Văn phòng,18:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
567,Cúc Tùng,21:30:00,Bến xe,06:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
568,Quang Hạnh,18:00:00,Bến xe,03:25:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,362,22,480000000,350000000,27.0,Saturday,11-10-2025,565,Sài Gòn - Nha Trang
569,Cúc Tùng,06:30:00,Bến xe,16:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,620,Sài Gòn - Nha Trang
570,Cúc Tùng,19:30:00,Văn phòng,05:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
571,Cúc Tùng,19:00:00,Bến xe,04:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
572,Cúc Tùng,10:00:00,Văn phòng,19:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
573,Cúc Tùng,09:15:00,Văn phòng,19:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
574,Cúc Tùng,05:00:00,Bến xe,15:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,620,Sài Gòn - Nha Trang
575,Cúc Tùng,10:30:00,Bến xe,20:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,620,Sài Gòn - Nha Trang
576,Cúc Tùng,10:30:00,Bến xe,19:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
577,Cúc Tùng,09:30:00,Bến xe,21:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,350000000,35.0,Saturday,11-10-2025,740,Sài Gòn - Nha Trang
578,Liên Hưng,09:00:00,Bến xe,19:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,630,Sài Gòn - Nha Trang
579,Hà Linh,22:45:00,Other,04:45:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329,34,450000000,320000000,29.0,Saturday,11-10-2025,360,Sài Gòn - Nha Trang
580,Cúc Tùng,22:30:00,Bến xe,08:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,299000000,45.0,Saturday,11-10-2025,575,Sài Gòn - Nha Trang
581,Cúc Tùng,11:15:00,Văn phòng,21:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
582,Liên Hưng,11:15:00,Văn phòng,22:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,645,Sài Gòn - Nha Trang
583,Liên Hưng,13:30:00,Văn phòng,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
584,Liên Hưng,12:30:00,Văn phòng,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,630,Sài Gòn - Nha Trang
585,Liên Hưng,11:30:00,Bến xe,22:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,630,Sài Gòn - Nha Trang
586,Cúc Tùng,10:00:00,Bến xe,19:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,299000000,45.0,Saturday,11-10-2025,575,Sài Gòn - Nha Trang
587,Cúc Tùng,10:00:00,Bến xe,19:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,299000000,45.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
588,Liên Hưng,08:45:00,Văn phòng,19:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,645,Sài Gòn - Nha Trang
589,Cúc Tùng,06:30:00,Bến xe,15:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
590,Cúc Tùng,05:30:00,Bến xe,15:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,620,Sài Gòn - Nha Trang
591,Liên Hưng,08:00:00,Bến xe,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
592,Cúc Tùng,08:30:00,Văn phòng,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,571000000,299000000,48.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
593,Liên Hưng,08:30:00,Văn phòng,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
594,Cúc Tùng,11:30:00,Bến xe,21:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,620,Sài Gòn - Nha Trang
595,Cúc Tùng,06:00:00,Bến xe,15:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
596,Cúc Tùng,11:00:00,Văn phòng,21:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,350000000,35.0,Saturday,11-10-2025,650,Sài Gòn - Nha Trang
597,Cúc Tùng,12:30:00,Bến xe,21:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,541000000,350000000,35.0,Saturday,11-10-2025,560,Sài Gòn - Nha Trang
598,Cúc Tùng,18:30:00,Văn phòng,04:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,590,Sài Gòn - Nha Trang
599,Long Vân Limousine,22:00:00,Văn phòng,05:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899,22,350000000,315000000,10.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
600,Huỳnh Gia,19:00:00,Văn phòng,03:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,530,Sài Gòn - Nha Trang
601,Long Vân Limousine,22:00:00,Bến xe,05:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899,22,350000000,315000000,10.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
602,Long Vân Limousine,13:00:00,Bến xe,20:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899,22,350000000,315000000,10.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
603,Khanh Phong,20:05:00,Văn phòng,02:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
604,Huỳnh Gia,20:00:00,Bến xe,03:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,470,Sài Gòn - Nha Trang
605,Cúc Tùng,19:30:00,Văn phòng,07:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
606,Liên Hưng,11:00:00,Other,18:45:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,465,Sài Gòn - Nha Trang
607,Liên Hưng,12:30:00,Văn phòng,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,660,Sài Gòn - Nha Trang
